model_name,iteration,log_name,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,,,,
gemini-1.5-pro-002,IT4,p3,11,11,11,,,11,TRUE
gemini-1.5-pro-002,IT4,p4,10,10,10,,,10,TRUE
gemini-1.5-pro-002,IT4,p5,11,11,11,,,11,TRUE
gemini-1.5-pro-002,IT4,p6,10,10,10,,,10,TRUE
gemini-1.5-pro-002,IT4,p7,13,13,13,,,13,TRUE
gemini-1.5-pro-002,IT4,p8,12,12,12,,,12,TRUE
gemini-1.5-pro-002,IT4,p9,13,13,12,,,13,TRUE
gemini-1.5-pro-002,IT4,p10,9,10,9,,,9,TRUE
gemini-1.5-pro-002,IT4,p11,12,12,12,,,12,TRUE
gemini-1.5-pro-002,IT4,p12,10,10,10,,,10,TRUE
gemini-1.5-pro-002,IT4,p13,9,12,9,,,9,TRUE
gemini-1.5-pro-002,IT4,p14,10,10,10,,,10,TRUE
gemini-1.5-pro-002,IT4,p15,10,10,10,,,10,TRUE
gemini-1.5-pro-002,IT4,p16,24,23,23,,,24,TRUE
gemini-1.5-pro-002,IT4,p17,25,28,25,,,25,TRUE
gemini-1.5-pro-002,IT4,p18,26,28,26,,,26,TRUE
gemini-1.5-pro-002,IT4,p19,8,8,8,,,8,TRUE
gemini-1.5-pro-002,IT4,p20,13,13,13,,,13,TRUE
gpt-4,IT1,p1,8,12,8,,,8,TRUE
gpt-4,IT1,p2,16,18,16,,,16,TRUE
gpt-4,IT1,p3,11,12,11,,,11,TRUE
gpt-4,IT1,p4,10,11,10,,,10,TRUE
gpt-4,IT1,p5,11,12,11,,,11,TRUE
gpt-4,IT1,p6,10,10,10,,,10,TRUE
gpt-4,IT1,p7,13,18,13,,,13,TRUE
gpt-4,IT1,p8,12,15,12,,,12,TRUE
gpt-4,IT1,p9,13,15,13,,,13,TRUE
gpt-4,IT1,p10,9,9,9,,,9,TRUE
gpt-4,IT1,p11,12,13,12,,,12,TRUE
gpt-4,IT1,p12,10,13,10,,,10,TRUE
gpt-4,IT1,p13,9,13,9,,,9,TRUE
gpt-4,IT1,p14,10,10,10,,,10,TRUE
gpt-4,IT1,p15,10,13,10,,,10,TRUE
gpt-4,IT1,p16,24,28,24,,,24,TRUE
gpt-4,IT1,p17,25,27,22,,,25,TRUE
gpt-4,IT1,p18,26,32,25,,,26,TRUE
gpt-4,IT1,p19,8,10,8,,,8,TRUE
gpt-4,IT1,p20,13,14,13,,,13,TRUE
gpt-4o,IT1,p1,8,8,8,,,8,TRUE
gpt-4o,IT1,p2,16,17,15,,,16,TRUE
gpt-4o,IT1,p3,11,12,11,,,11,TRUE
gpt-4o,IT1,p4,10,10,10,,,10,TRUE
gpt-4o,IT1,p5,11,11,11,,,11,TRUE
gpt-4o,IT1,p6,10,11,10,,,10,TRUE
gpt-4o,IT1,p7,13,14,13,,,13,TRUE
gpt-4o,IT1,p8,12,12,12,,,12,TRUE
gpt-4o,IT1,p9,13,13,13,,,13,TRUE
gpt-4o,IT1,p10,9,9,9,,,9,TRUE
gpt-4o,IT1,p11,12,12,12,,,12,TRUE
gpt-4o,IT1,p12,10,11,10,,,10,TRUE
gpt-4o,IT1,p13,9,10,9,,,9,TRUE
gpt-4o,IT1,p14,10,11,10,,,10,TRUE
gpt-4o,IT1,p15,10,10,10,,,10,TRUE
gpt-4o,IT1,p16,24,31,23,,,24,TRUE
gpt-4o,IT1,p17,25,24,24,,,25,TRUE
gpt-4o,IT1,p18,26,29,26,,,26,TRUE
gpt-4o,IT1,p19,8,9,8,,,8,TRUE
gpt-4o,IT1,p20,13,21,13,,,13,TRUE
gpt-4o-mini,IT1,p1,8,8,8,,,8,TRUE
gpt-4o-mini,IT1,p2,16,16,16,,,16,TRUE
gpt-4o-mini,IT1,p3,11,11,10,,,11,TRUE
gpt-4o-mini,IT1,p4,10,10,10,,,10,TRUE
gpt-4o-mini,IT1,p5,11,11,11,,,11,TRUE
gpt-4o-mini,IT1,p6,10,10,10,,,10,TRUE
gpt-4o-mini,IT1,p7,13,14,13,,,13,TRUE
gpt-4o-mini,IT1,p8,12,13,12,,,12,TRUE
gpt-4o-mini,IT1,p9,13,15,13,,,13,TRUE
gpt-4o-mini,IT1,p10,9,9,9,,,9,TRUE
gpt-4o-mini,IT1,p11,12,13,12,,,12,TRUE
gpt-4o-mini,IT1,p12,10,11,10,,,10,TRUE
gpt-4o-mini,IT1,p13,9,5,3,,,9,TRUE
gpt-4o-mini,IT1,p14,10,11,10,,,10,TRUE
gpt-4o-mini,IT1,p15,10,10,10,,,10,TRUE
gpt-4o-mini,IT1,p16,24,33,22,,,24,TRUE
gpt-4o-mini,IT1,p17,25,27,22,,,25,TRUE
gpt-4o-mini,IT1,p18,26,27,25,,,26,TRUE
gpt-4o-mini,IT1,p19,8,12,8,,,8,TRUE
gpt-4o-mini,IT1,p20,13,12,12,,,13,TRUE
Llama-3.1-405B-Instruct,IT1,p1,8,8,8,,,8,TRUE
Llama-3.1-405B-Instruct,IT1,p2,16,16,16,,,16,TRUE
Llama-3.1-405B-Instruct,IT1,p3,11,11,11,,,11,TRUE
Llama-3.1-405B-Instruct,IT1,p4,10,10,10,,,10,TRUE
Llama-3.1-405B-Instruct,IT1,p5,11,13,11,,,11,TRUE
Llama-3.1-405B-Instruct,IT1,p6,10,10,10,,,10,TRUE
Llama-3.1-405B-Instruct,IT1,p7,13,14,13,,,13,TRUE
Llama-3.1-405B-Instruct,IT1,p8,12,12,12,,,12,TRUE
Llama-3.1-405B-Instruct,IT1,p9,13,16,13,,,13,TRUE
Llama-3.1-405B-Instruct,IT1,p10,9,11,9,,,9,TRUE
Llama-3.1-405B-Instruct,IT1,p11,12,12,12,,,12,TRUE
Llama-3.1-405B-Instruct,IT1,p12,10,10,10,,,10,TRUE
Llama-3.1-405B-Instruct,IT1,p13,9,12,9,,,9,TRUE
Llama-3.1-405B-Instruct,IT1,p14,10,11,10,,,10,TRUE
Llama-3.1-405B-Instruct,IT1,p15,10,11,10,,,10,TRUE
Llama-3.1-405B-Instruct,IT1,p16,24,27,24,,,24,TRUE
Llama-3.1-405B-Instruct,IT1,p17,25,25,25,,,25,TRUE
Llama-3.1-405B-Instruct,IT1,p18,26,28,26,,,26,TRUE
Llama-3.1-405B-Instruct,IT1,p19,8,9,8,,,8,TRUE
Llama-3.1-405B-Instruct,IT1,p20,13,12,12,,,13,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p1,8,9,8,,,8,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p2,16,17,16,,,16,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p3,11,11,11,,,11,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p4,10,10,10,,,10,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p5,11,11,11,,,11,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p6,10,12,10,,,10,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p7,13,15,13,,,13,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p8,12,12,12,,,12,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p9,13,13,13,,,13,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p10,9,10,9,,,9,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p11,12,14,12,,,12,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p12,10,10,10,,,10,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p13,9,11,9,,,9,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p14,10,10,10,,,10,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p15,10,10,10,,,10,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p16,24,21,21,,,24,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p17,25,31,24,,,25,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p18,26,29,26,,,26,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p19,8,8,8,,,8,TRUE
Llama-3.2-90B-Vision-Instruct,IT1,p20,13,16,13,,,13,TRUE
mistral-large-2407,IT1,p1,8,8,8,,,8,TRUE
mistral-large-2407,IT1,p2,16,17,16,,,16,TRUE
mistral-large-2407,IT1,p3,11,11,11,,,11,TRUE
mistral-large-2407,IT1,p4,10,10,10,,,10,TRUE
mistral-large-2407,IT1,p5,11,11,11,,,11,TRUE
mistral-large-2407,IT1,p6,10,11,10,,,10,TRUE
mistral-large-2407,IT1,p7,13,13,13,,,13,TRUE
mistral-large-2407,IT1,p8,12,12,12,,,12,TRUE
mistral-large-2407,IT1,p9,13,25,13,,,13,TRUE
mistral-large-2407,IT1,p10,9,9,9,,,9,TRUE
mistral-large-2407,IT1,p11,12,12,12,,,12,TRUE
mistral-large-2407,IT1,p12,10,11,10,,,10,TRUE
mistral-large-2407,IT1,p13,9,12,9,,,9,TRUE
mistral-large-2407,IT1,p14,10,12,10,,,10,TRUE
mistral-large-2407,IT1,p15,10,10,10,,,10,TRUE
mistral-large-2407,IT1,p16,24,92,23,,,24,TRUE
mistral-large-2407,IT1,p17,25,42,25,,,25,TRUE
mistral-large-2407,IT1,p18,26,27,25,,,26,TRUE
mistral-large-2407,IT1,p19,8,8,8,,,8,TRUE
mistral-large-2407,IT1,p20,13,13,13,,,13,TRUE
o1-mini,IT1,p1,8,8,8,,,8,TRUE
o1-mini,IT1,p2,16,16,16,,,16,TRUE
o1-mini,IT1,p3,11,11,11,,,11,TRUE
o1-mini,IT1,p4,10,10,10,,,10,TRUE
o1-mini,IT1,p5,11,11,11,,,11,TRUE
o1-mini,IT1,p6,10,10,10,,,10,TRUE
o1-mini,IT1,p7,13,13,13,,,13,TRUE
o1-mini,IT1,p8,12,12,12,,,12,TRUE
o1-mini,IT1,p9,13,13,13,,,13,TRUE
o1-mini,IT1,p10,9,9,9,,,9,TRUE
o1-mini,IT1,p11,12,15,12,,,12,TRUE
o1-mini,IT1,p12,10,9,9,,,10,TRUE
o1-mini,IT1,p13,9,9,9,,,9,TRUE
o1-mini,IT1,p14,10,10,10,,,10,TRUE
o1-mini,IT1,p15,10,10,10,,,10,TRUE
o1-mini,IT1,p16,24,22,22,,,24,TRUE
o1-mini,IT1,p17,25,24,24,,,25,TRUE
o1-mini,IT1,p18,26,32,24,,,26,TRUE
o1-mini,IT1,p19,8,9,8,,,8,TRUE
o1-mini,IT1,p20,13,13,13,,,13,TRUE
o1-preview,IT1,p1,8,8,8,,,8,TRUE
o1-preview,IT1,p2,16,16,16,,,16,TRUE
o1-preview,IT1,p3,11,11,11,,,11,TRUE
o1-preview,IT1,p4,10,10,10,,,10,TRUE
o1-preview,IT1,p5,11,16,11,,,11,TRUE
o1-preview,IT1,p6,10,10,10,,,10,TRUE
o1-preview,IT1,p7,13,13,13,,,13,TRUE
o1-preview,IT1,p8,12,12,12,,,12,TRUE
o1-preview,IT1,p9,13,13,13,,,13,TRUE
o1-preview,IT1,p10,9,10,9,,,9,TRUE
o1-preview,IT1,p11,12,12,12,,,12,TRUE
o1-preview,IT1,p12,10,10,10,,,10,TRUE
o1-preview,IT1,p13,9,9,9,,,9,TRUE
o1-preview,IT1,p14,10,10,9,,,10,TRUE
o1-preview,IT1,p15,10,11,10,,,10,TRUE
o1-preview,IT1,p16,24,23,23,,,24,TRUE
o1-preview,IT1,p17,25,25,25,,,25,TRUE
o1-preview,IT1,p18,26,26,26,,,26,TRUE
o1-preview,IT1,p19,8,8,8,,,8,TRUE
o1-preview,IT1,p20,13,14,13,,,13,TRUE
open-mixtral-8x22b,IT1,p1,8,8,8,,,8,TRUE
open-mixtral-8x22b,IT1,p2,16,56,16,,,16,TRUE
open-mixtral-8x22b,IT1,p3,11,11,11,,,11,TRUE
open-mixtral-8x22b,IT1,p4,10,10,10,,,10,TRUE
open-mixtral-8x22b,IT1,p5,11,23,11,,,11,TRUE
open-mixtral-8x22b,IT1,p6,10,10,10,,,10,TRUE
open-mixtral-8x22b,IT1,p7,13,17,13,,,13,TRUE
open-mixtral-8x22b,IT1,p8,12,12,12,,,12,TRUE
open-mixtral-8x22b,IT1,p9,13,21,13,,,13,TRUE
open-mixtral-8x22b,IT1,p10,9,12,9,,,9,TRUE
open-mixtral-8x22b,IT1,p11,12,13,10,,,12,TRUE
open-mixtral-8x22b,IT1,p12,10,12,10,,,10,TRUE
open-mixtral-8x22b,IT1,p13,9,11,9,,,9,TRUE
open-mixtral-8x22b,IT1,p14,10,10,10,,,10,TRUE
open-mixtral-8x22b,IT1,p15,10,10,10,,,10,TRUE
open-mixtral-8x22b,IT1,p16,24,24,24,,,24,TRUE
open-mixtral-8x22b,IT1,p17,25,26,20,,,25,TRUE
open-mixtral-8x22b,IT1,p18,26,0,0,,,26,TRUE
open-mixtral-8x22b,IT1,p19,8,10,8,,,8,TRUE
open-mixtral-8x22b,IT1,p20,13,13,12,,,13,TRUE
Qwen2.5-72B-Instruct,IT1,p1,8,12,8,,,8,TRUE
Qwen2.5-72B-Instruct,IT1,p2,16,16,16,,,16,TRUE
Qwen2.5-72B-Instruct,IT1,p3,11,15,11,,,11,TRUE
Qwen2.5-72B-Instruct,IT1,p4,10,13,10,,,10,TRUE
Qwen2.5-72B-Instruct,IT1,p5,11,13,11,,,11,TRUE
Qwen2.5-72B-Instruct,IT1,p6,10,10,10,,,10,TRUE
Qwen2.5-72B-Instruct,IT1,p7,13,16,13,,,13,TRUE
Qwen2.5-72B-Instruct,IT1,p8,12,12,12,,,12,TRUE
Qwen2.5-72B-Instruct,IT1,p9,13,13,12,,,13,TRUE
Qwen2.5-72B-Instruct,IT1,p10,9,9,9,,,9,TRUE
Qwen2.5-72B-Instruct,IT1,p11,12,15,12,,,12,TRUE
Qwen2.5-72B-Instruct,IT1,p12,10,11,10,,,10,TRUE
Qwen2.5-72B-Instruct,IT1,p13,9,11,9,,,9,TRUE
Qwen2.5-72B-Instruct,IT1,p14,10,14,10,,,10,TRUE
Qwen2.5-72B-Instruct,IT1,p15,10,12,10,,,10,TRUE
Qwen2.5-72B-Instruct,IT1,p16,24,22,18,,,24,TRUE
Qwen2.5-72B-Instruct,IT1,p17,25,32,25,,,25,TRUE
Qwen2.5-72B-Instruct,IT1,p18,26,29,25,,,26,TRUE
Qwen2.5-72B-Instruct,IT1,p19,8,7,7,,,8,TRUE
Qwen2.5-72B-Instruct,IT1,p20,13,14,13,,,13,TRUE
WizardLM-2-8x22B,IT1,p1,8,9,8,,,8,TRUE
WizardLM-2-8x22B,IT1,p2,16,20,15,,,16,TRUE
WizardLM-2-8x22B,IT1,p3,11,11,10,,,11,TRUE
WizardLM-2-8x22B,IT1,p4,10,10,10,,,10,TRUE
WizardLM-2-8x22B,IT1,p5,11,17,10,,,11,TRUE
WizardLM-2-8x22B,IT1,p6,10,10,10,,,10,TRUE
WizardLM-2-8x22B,IT1,p7,13,11,11,,,13,TRUE
WizardLM-2-8x22B,IT1,p8,12,11,11,,,12,TRUE
WizardLM-2-8x22B,IT1,p9,13,13,13,,,13,TRUE
WizardLM-2-8x22B,IT1,p10,9,9,7,,,9,TRUE
WizardLM-2-8x22B,IT1,p11,12,13,10,,,12,TRUE
WizardLM-2-8x22B,IT1,p12,10,10,10,,,10,TRUE
WizardLM-2-8x22B,IT1,p13,9,13,8,,,9,TRUE
WizardLM-2-8x22B,IT1,p14,10,16,9,,,10,TRUE
WizardLM-2-8x22B,IT1,p15,10,10,10,,,10,TRUE
WizardLM-2-8x22B,IT1,p16,24,23,22,,,24,TRUE
WizardLM-2-8x22B,IT1,p17,25,23,23,,,25,TRUE
WizardLM-2-8x22B,IT1,p18,26,30,19,,,26,TRUE
WizardLM-2-8x22B,IT1,p19,8,8,8,,,8,TRUE
WizardLM-2-8x22B,IT1,p20,13,16,12,,,13,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p1,8,8,8,,,8,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p2,16,18,16,,,16,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p3,11,11,11,,,11,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p4,10,10,9,,,10,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p5,11,12,11,,,11,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p6,10,10,10,,,10,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p7,13,15,13,,,13,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p8,12,12,12,,,12,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p9,13,23,13,,,13,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p10,9,9,9,,,9,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p11,12,12,12,,,12,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p12,10,11,10,,,10,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p13,9,11,9,,,9,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p14,10,10,10,,,10,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p15,10,12,10,,,10,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p16,24,27,22,,,24,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p17,25,25,24,,,25,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p18,26,42,26,,,26,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p19,8,9,8,,,8,TRUE
Llama-3.1-Nemotron-70B-Instruct,IT1,p20,13,13,13,,,13,TRUE
