model_name,iteration,log_name,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,,
Llama-3.2-90B-Vision-Instruct,IT1,p5,11,11,11,,
Llama-3.2-90B-Vision-Instruct,IT1,p6,10,12,10,,
Llama-3.2-90B-Vision-Instruct,IT1,p7,13,15,13,,
Llama-3.2-90B-Vision-Instruct,IT1,p8,12,12,12,,
Llama-3.2-90B-Vision-Instruct,IT1,p9,13,13,13,,
Llama-3.2-90B-Vision-Instruct,IT1,p10,9,10,9,,
Llama-3.2-90B-Vision-Instruct,IT1,p11,12,14,12,,
Llama-3.2-90B-Vision-Instruct,IT1,p12,10,10,10,,
Llama-3.2-90B-Vision-Instruct,IT1,p13,9,11,9,,
Llama-3.2-90B-Vision-Instruct,IT1,p14,10,10,10,,
Llama-3.2-90B-Vision-Instruct,IT1,p15,10,10,10,,
Llama-3.2-90B-Vision-Instruct,IT1,p16,24,21,21,,
Llama-3.2-90B-Vision-Instruct,IT1,p17,25,31,24,,
Llama-3.2-90B-Vision-Instruct,IT1,p18,26,29,26,,
Llama-3.2-90B-Vision-Instruct,IT1,p19,8,8,8,,
Llama-3.2-90B-Vision-Instruct,IT1,p20,13,16,13,,
mistral-large-2407,IT1,p1,8,8,8,,
mistral-large-2407,IT1,p2,16,17,16,,
mistral-large-2407,IT1,p3,11,11,11,,
mistral-large-2407,IT1,p4,10,10,10,,
mistral-large-2407,IT1,p5,11,11,11,,
mistral-large-2407,IT1,p6,10,11,10,,
mistral-large-2407,IT1,p7,13,13,13,,
mistral-large-2407,IT1,p8,12,12,12,,
mistral-large-2407,IT1,p9,13,25,13,,
mistral-large-2407,IT1,p10,9,9,9,,
mistral-large-2407,IT1,p11,12,12,12,,
mistral-large-2407,IT1,p12,10,11,10,,
mistral-large-2407,IT1,p13,9,12,9,,
mistral-large-2407,IT1,p14,10,12,10,,
mistral-large-2407,IT1,p15,10,10,10,,
mistral-large-2407,IT1,p16,24,92,23,,
mistral-large-2407,IT1,p17,25,42,25,,
mistral-large-2407,IT1,p18,26,27,25,,
mistral-large-2407,IT1,p19,8,8,8,,
mistral-large-2407,IT1,p20,13,13,13,,
o1-mini,IT1,p1,8,8,8,,
o1-mini,IT1,p2,16,16,16,,
o1-mini,IT1,p3,11,11,11,,
o1-mini,IT1,p4,10,10,10,,
o1-mini,IT1,p5,11,11,11,,
o1-mini,IT1,p6,10,10,10,,
o1-mini,IT1,p7,13,13,13,,
o1-mini,IT1,p8,12,12,12,,
o1-mini,IT1,p9,13,13,13,,
o1-mini,IT1,p10,9,9,9,,
o1-mini,IT1,p11,12,15,12,,
o1-mini,IT1,p12,10,9,9,,
o1-mini,IT1,p13,9,9,9,,
o1-mini,IT1,p14,10,10,10,,
o1-mini,IT1,p15,10,10,10,,
o1-mini,IT1,p16,24,22,22,,
o1-mini,IT1,p17,25,24,24,,
o1-mini,IT1,p18,26,32,24,,
o1-mini,IT1,p19,8,9,8,,
o1-mini,IT1,p20,13,13,13,,
o1-preview,IT1,p1,8,8,8,,
o1-preview,IT1,p2,16,16,16,,
o1-preview,IT1,p3,11,11,11,,
o1-preview,IT1,p4,10,10,10,,
o1-preview,IT1,p5,11,16,11,,
o1-preview,IT1,p6,10,10,10,,
o1-preview,IT1,p7,13,13,13,,
o1-preview,IT1,p8,12,12,12,,
o1-preview,IT1,p9,13,13,13,,
o1-preview,IT1,p10,9,10,9,,
o1-preview,IT1,p11,12,12,12,,
o1-preview,IT1,p12,10,10,10,,
o1-preview,IT1,p13,9,9,9,,
o1-preview,IT1,p14,10,10,9,,
o1-preview,IT1,p15,10,11,10,,
o1-preview,IT1,p16,24,23,23,,
o1-preview,IT1,p17,25,25,25,,
o1-preview,IT1,p18,26,26,26,,
o1-preview,IT1,p19,8,8,8,,
o1-preview,IT1,p20,13,14,13,,
open-mixtral-8x22b,IT1,p1,8,8,8,,
open-mixtral-8x22b,IT1,p2,16,56,16,,
open-mixtral-8x22b,IT1,p3,11,11,11,,
open-mixtral-8x22b,IT1,p4,10,10,10,,
open-mixtral-8x22b,IT1,p5,11,23,11,,
open-mixtral-8x22b,IT1,p6,10,10,10,,
open-mixtral-8x22b,IT1,p7,13,17,13,,
open-mixtral-8x22b,IT1,p8,12,12,12,,
open-mixtral-8x22b,IT1,p9,13,21,13,,
open-mixtral-8x22b,IT1,p10,9,12,9,,
open-mixtral-8x22b,IT1,p11,12,13,10,,
open-mixtral-8x22b,IT1,p12,10,12,10,,
open-mixtral-8x22b,IT1,p13,9,11,9,,
open-mixtral-8x22b,IT1,p14,10,10,10,,
open-mixtral-8x22b,IT1,p15,10,10,10,,
open-mixtral-8x22b,IT1,p16,24,24,24,,
open-mixtral-8x22b,IT1,p17,25,26,20,,
open-mixtral-8x22b,IT1,p18,26,0,0,,
open-mixtral-8x22b,IT1,p19,8,10,8,,
open-mixtral-8x22b,IT1,p20,13,13,12,,
Qwen2.5-72B-Instruct,IT1,p1,8,12,8,,
Qwen2.5-72B-Instruct,IT1,p2,16,16,16,,
Qwen2.5-72B-Instruct,IT1,p3,11,15,11,,
Qwen2.5-72B-Instruct,IT1,p4,10,13,10,,
Qwen2.5-72B-Instruct,IT1,p5,11,13,11,,
Qwen2.5-72B-Instruct,IT1,p6,10,10,10,,
Qwen2.5-72B-Instruct,IT1,p7,13,16,13,,
Qwen2.5-72B-Instruct,IT1,p8,12,12,12,,
Qwen2.5-72B-Instruct,IT1,p9,13,13,12,,
Qwen2.5-72B-Instruct,IT1,p10,9,9,9,,
Qwen2.5-72B-Instruct,IT1,p11,12,15,12,,
Qwen2.5-72B-Instruct,IT1,p12,10,11,10,,
Qwen2.5-72B-Instruct,IT1,p13,9,11,9,,
Qwen2.5-72B-Instruct,IT1,p14,10,14,10,,
Qwen2.5-72B-Instruct,IT1,p15,10,12,10,,
Qwen2.5-72B-Instruct,IT1,p16,24,22,18,,
Qwen2.5-72B-Instruct,IT1,p17,25,32,25,,
Qwen2.5-72B-Instruct,IT1,p18,26,29,25,,
Qwen2.5-72B-Instruct,IT1,p19,8,7,7,,
Qwen2.5-72B-Instruct,IT1,p20,13,14,13,,
WizardLM-2-8x22B,IT1,p1,8,9,8,,
WizardLM-2-8x22B,IT1,p2,16,20,15,,
WizardLM-2-8x22B,IT1,p3,11,11,10,,
WizardLM-2-8x22B,IT1,p4,10,10,10,,
WizardLM-2-8x22B,IT1,p5,11,17,10,,
WizardLM-2-8x22B,IT1,p6,10,10,10,,
WizardLM-2-8x22B,IT1,p7,13,11,11,,
WizardLM-2-8x22B,IT1,p8,12,11,11,,
WizardLM-2-8x22B,IT1,p9,13,13,13,,
WizardLM-2-8x22B,IT1,p10,9,9,7,,
WizardLM-2-8x22B,IT1,p11,12,13,10,,
WizardLM-2-8x22B,IT1,p12,10,10,10,,
WizardLM-2-8x22B,IT1,p13,9,13,8,,
WizardLM-2-8x22B,IT1,p14,10,16,9,,
WizardLM-2-8x22B,IT1,p15,10,10,10,,
WizardLM-2-8x22B,IT1,p16,24,23,22,,
WizardLM-2-8x22B,IT1,p17,25,23,23,,
WizardLM-2-8x22B,IT1,p18,26,30,19,,
WizardLM-2-8x22B,IT1,p19,8,8,8,,
WizardLM-2-8x22B,IT1,p20,13,16,12,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p1,8,8,8,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p2,16,18,16,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p3,11,11,11,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p4,10,10,9,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p5,11,12,11,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p6,10,10,10,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p7,13,15,13,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p8,12,12,12,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p9,13,23,13,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p10,9,9,9,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p11,12,12,12,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p12,10,11,10,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p13,9,11,9,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p14,10,10,10,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p15,10,12,10,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p16,24,27,22,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p17,25,25,24,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p18,26,42,26,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p19,8,9,8,,
Llama-3.1-Nemotron-70B-Instruct,IT1,p20,13,13,13,,
